Voltage Across 100ohm +	Vert leads 1-2 +	Vert leads 3-4 +	Horz leads 1-3 +	Horz leads 2-4 +	Thermo Voltage +	Temperature +	Voltage Across 100ohm -	Vert leads 1-2 -	Vert leads 3-4 -	Horz leads 1-3 -	Horz leads 2-4 -	Thermo Voltage -	Temperature -
-4.050612E-1	-5.558146E-2	-2.002700E-1	-1.675080E+0	8.930694E-4	1.530104E+0	2.956049E+2	-4.050753E-1	2.375836E-3	-1.688085E-1	-1.687981E+0	9.006818E-4	1.516595E+0	2.957923E+2
-4.050813E-1	-5.145499E-2	-1.946789E-1	-1.638557E+0	1.012293E-3	1.494992E+0	2.985314E+2	-4.050924E-1	-3.328383E-4	-1.663829E-1	-1.648412E+0	1.019444E-3	1.482072E+0	2.987064E+2
-4.051092E-1	-4.574520E-2	-1.860629E-1	-1.575616E+0	1.160163E-3	1.434781E+0	3.021366E+2	-4.050900E-1	-3.451388E-3	-1.618000E-1	-1.581711E+0	1.165580E-3	1.422970E+0	3.022681E+2
-4.051253E-1	-4.020616E-2	-1.766448E-1	-1.502429E+0	1.286509E-3	1.365412E+0	3.051959E+2	-4.051189E-1	-5.925639E-3	-1.560956E-1	-1.504951E+0	1.292484E-3	1.354331E+0	3.053401E+2
-4.052183E-1	-3.364857E-2	-1.639557E-1	-1.400440E+0	1.436898E-3	1.269342E+0	3.088130E+2	-4.052370E-1	-8.278315E-3	-1.477479E-1	-1.399799E+0	1.442882E-3	1.259743E+0	3.089563E+2
-4.053179E-1	-2.732429E-2	-1.493563E-1	-1.282150E+0	1.585441E-3	1.159432E+0	3.123602E+2	-4.052856E-1	-9.962918E-3	-1.373689E-1	-1.278068E+0	1.591736E-3	1.149944E+0	3.125100E+2
-4.053147E-1	-2.242426E-2	-1.356828E-1	-1.171770E+0	1.711914E-3	1.057686E+0	3.153610E+2	-4.053057E-1	-1.097540E-2	-1.269703E-1	-1.164434E+0	1.720363E-3	1.047648E+0	3.155609E+2
-4.053594E-1	-1.879560E-2	-1.239393E-1	-1.077551E+0	1.815479E-3	9.716679E-1	3.178054E+2	-4.053440E-1	-1.129831E-2	-1.182038E-1	-1.072889E+0	1.820626E-3	9.652056E-1	3.179265E+2
-4.053815E-1	-1.457028E-2	-1.078783E-1	-9.486093E-1	1.968395E-3	8.547022E-1	3.213937E+2	-4.053849E-1	-1.136750E-2	-1.053843E-1	-9.450986E-1	1.971807E-3	8.504857E-1	3.214734E+2
-4.055133E-1	-1.211940E-2	-9.681461E-2	-8.593168E-1	2.083086E-3	7.740350E-1	3.240690E+2	-4.055102E-1	-1.113420E-2	-9.605938E-2	-8.554687E-1	2.088158E-3	7.699631E-1	3.241870E+2
-4.057537E-1	-9.132639E-3	-8.128679E-2	-7.323794E-1	2.242218E-3	6.599008E-1	3.277591E+2	-4.057461E-1	-1.050472E-2	-8.264853E-2	-7.298684E-1	2.244725E-3	6.573859E-1	3.278170E+2
-4.056991E-1	-7.829035E-3	-7.355206E-2	-6.680035E-1	2.349277E-3	6.019759E-1	3.302275E+2	-4.056924E-1	-1.004468E-2	-7.567524E-2	-6.658589E-1	2.351425E-3	5.999252E-1	3.302769E+2
-4.056157E-1	-6.867087E-3	-6.740091E-2	-6.160078E-1	2.447455E-3	5.551302E-1	3.324815E+2	-4.056266E-1	-9.609918E-3	-6.998781E-2	-6.138554E-1	2.451108E-3	5.531237E-1	3.325651E+2
-4.056772E-1	-5.754327E-3	-5.971710E-2	-5.497912E-1	2.576514E-3	4.954423E-1	3.354304E+2	-4.056774E-1	-8.945066E-3	-6.265318E-2	-5.472757E-1	2.579709E-3	4.932245E-1	3.355032E+2
