Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1733
Lower Discriminator:	-2
Calibration Coefficients:	-26.31868131868123	1.6791208791208792
Calibration Channels:	320	775
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	502.66
Elapsed Live Time:	417.0
Start Time:	February 16, 2016, 03:52:27
End Time:	February 16, 2016, 04:00:50
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	273	349	115920	8581	38	490

Channel Data:
Channel	Energy	Counts
90	124.8021978021979	8990
91	126.48131868131878	8800
92	128.16043956043964	9004
93	129.83956043956053	8822
94	131.51868131868142	8530
95	133.1978021978023	8463
96	134.87692307692316	8536
97	136.55604395604405	8443
98	138.23516483516494	8168
99	139.9142857142858	7972
100	141.59340659340668	8022
101	143.27252747252757	7844
102	144.95164835164846	7939
103	146.63076923076932	7700
104	148.3098901098902	7593
105	149.9890109890111	7563
106	151.66813186813195	7572
107	153.34725274725284	7361
108	155.02637362637373	7310
109	156.70549450549458	7314
110	158.38461538461547	7142
111	160.06373626373636	7208
112	161.74285714285725	6906
113	163.4219780219781	7011
114	165.101098901099	6868
115	166.78021978021988	6711
116	168.45934065934074	6775
117	170.13846153846163	6546
118	171.8175824175825	6534
119	173.4967032967034	6604
120	175.17582417582426	6383
121	176.85494505494515	6343
122	178.53406593406604	6412
123	180.2131868131869	6258
124	181.89230769230778	6241
125	183.57142857142867	6058
126	185.25054945054956	6153
127	186.92967032967042	5876
128	188.6087912087913	6179
129	190.2879120879122	5797
130	191.96703296703305	5924
131	193.64615384615394	5689
132	195.32527472527482	5786
133	197.0043956043957	5624
134	198.68351648351657	5534
135	200.36263736263746	5362
136	202.04175824175834	5494
137	203.7208791208792	5405
138	205.4000000000001	5360
139	207.07912087912098	5294
140	208.75824175824187	5197
141	210.43736263736272	5091
142	212.1164835164836	5006
143	213.7956043956045	5041
144	215.47472527472536	4883
145	217.15384615384625	4915
146	218.83296703296713	4845
147	220.51208791208802	4737
148	222.19120879120888	4826
149	223.87032967032977	4642
150	225.54945054945065	4560
151	227.2285714285715	4616
152	228.9076923076924	4370
153	230.5868131868133	4388
154	232.26593406593418	4375
155	233.94505494505506	4320
156	235.6241758241759	4063
157	237.30329670329678	4153
158	238.98241758241767	4207
159	240.66153846153856	4111
160	242.34065934065944	3935
161	244.01978021978033	4064
162	245.69890109890122	3953
163	247.37802197802205	3902
164	249.05714285714294	3937
165	250.73626373626382	3821
166	252.4153846153847	3754
167	254.0945054945056	3729
168	255.77362637362648	3712
169	257.4527472527474	3768
170	259.1318681318682	3646
171	260.8109890109891	3600
172	262.49010989011	3577
173	264.16923076923086	3537
174	265.84835164835175	3521
175	267.52747252747264	3400
176	269.2065934065935	3390
177	270.88571428571436	3329
178	272.56483516483524	3321
179	274.24395604395613	3312
180	275.923076923077	3367
181	277.6021978021979	3174
182	279.2813186813188	3238
183	280.9604395604397	3194
184	282.6395604395605	3148
185	284.3186813186814	3166
186	285.9978021978023	2989
187	287.6769230769232	3016
188	289.35604395604406	3063
189	291.03516483516495	2967
190	292.71428571428584	2927
191	294.39340659340667	2945
192	296.07252747252755	2920
193	297.75164835164844	2937
194	299.43076923076933	2837
195	301.1098901098902	2814
196	302.7890109890111	2868
197	304.468131868132	2708
198	306.1472527472528	2767
199	307.8263736263737	2704
200	309.5054945054946	2777
201	311.1846153846155	2616
202	312.86373626373637	2730
203	314.54285714285726	2723
204	316.22197802197815	2615
205	317.901098901099	2536
206	319.58021978021986	2609
207	321.25934065934075	2543
208	322.93846153846164	2554
209	324.6175824175825	2522
210	326.2967032967034	2459
211	327.9758241758243	2512
212	329.65494505494513	2507
213	331.334065934066	2447
214	333.0131868131869	2403
215	334.6923076923078	2404
216	336.3714285714287	2425
217	338.05054945054957	2390
218	339.7296703296704	2372
219	341.4087912087913	2309
220	343.0879120879122	2313
221	344.76703296703306	2254
222	346.44615384615395	2349
223	348.12527472527483	2357
224	349.8043956043957	2300
225	351.48351648351655	2261
226	353.16263736263744	2292
227	354.8417582417583	2223
228	356.5208791208792	2271
229	358.2000000000001	2208
230	359.879120879121	2095
231	361.5582417582419	2182
232	363.2373626373627	2177
233	364.9164835164836	2140
234	366.5956043956045	2119
235	368.27472527472537	2164
236	369.95384615384626	2030
237	371.63296703296714	2123
238	373.31208791208803	2066
239	374.99120879120886	2016
240	376.67032967032975	2140
241	378.34945054945064	2010
242	380.0285714285715	1969
243	381.7076923076924	2000
244	383.3868131868133	1945
245	385.0659340659342	1885
246	386.745054945055	1913
247	388.4241758241759	1912
248	390.1032967032968	1983
249	391.7824175824177	1867
250	393.46153846153857	1837
251	395.14065934065945	1888
252	396.81978021978034	1881
253	398.4989010989012	1793
254	400.17802197802206	1900
255	401.85714285714295	1895
256	403.53626373626383	1864
257	405.2153846153847	1942
258	406.8945054945056	1816
259	408.5736263736265	1825
260	410.2527472527473	1812
261	411.9318681318682	1838
262	413.6109890109891	1771
263	415.29010989011	1774
264	416.9692307692309	1755
265	418.64835164835176	1689
266	420.32747252747265	1829
267	422.0065934065935	1821
268	423.68571428571437	1756
269	425.36483516483526	1746
270	427.04395604395614	1708
271	428.72307692307703	1744
272	430.4021978021979	1723
273	432.0813186813188	1815
274	433.76043956043964	1704
275	435.4395604395605	1732
276	437.1186813186814	1719
277	438.7978021978023	1683
278	440.4769230769232	1772
279	442.1560439560441	1801
280	443.83516483516496	1646
281	445.5142857142858	1736
282	447.1934065934067	1813
283	448.87252747252757	1734
284	450.55164835164845	1754
285	452.23076923076934	1729
286	453.9098901098902	1694
287	455.5890109890111	1723
288	457.26813186813195	1674
289	458.94725274725283	1702
290	460.6263736263737	1729
291	462.3054945054946	1770
292	463.9846153846155	1742
293	465.6637362637364	1686
294	467.34285714285727	1683
295	469.0219780219781	1713
296	470.701098901099	1684
297	472.3802197802199	1785
298	474.05934065934076	1705
299	475.73846153846165	1639
300	477.41758241758254	1767
301	479.09670329670337	1685
302	480.77582417582425	1680
303	482.45494505494514	1703
304	484.13406593406603	1672
305	485.8131868131869	1658
306	487.4923076923078	1618
307	489.1714285714287	1658
308	490.8505494505496	1667
309	492.52967032967047	1634
310	494.20879120879135	1627
311	495.88791208791224	1612
312	497.567032967033	1534
313	499.2461538461539	1561
314	500.9252747252748	1571
315	502.6043956043957	1547
316	504.28351648351656	1505
317	505.96263736263745	1572
318	507.64175824175834	1522
319	509.3208791208792	1466
320	511.0000000000001	1469
321	512.679120879121	1460
322	514.3582417582419	1467
323	516.0373626373628	1401
324	517.7164835164837	1421
325	519.3956043956046	1441
326	521.0747252747253	1371
327	522.7538461538462	1352
328	524.4329670329671	1308
329	526.112087912088	1288
330	527.7912087912089	1271
331	529.4703296703298	1343
332	531.1494505494506	1232
333	532.8285714285715	1230
334	534.5076923076924	1299
335	536.1868131868133	1176
336	537.8659340659342	1249
337	539.5450549450551	1270
338	541.224175824176	1125
339	542.9032967032969	1155
340	544.5824175824176	1091
341	546.2615384615385	1130
342	547.9406593406594	1118
343	549.6197802197803	1038
344	551.2989010989012	1058
345	552.9780219780221	1084
346	554.657142857143	1082
347	556.3362637362638	1073
348	558.0153846153847	1091
349	559.6945054945056	1001
350	561.3736263736265	1034
351	563.0527472527474	1028
352	564.7318681318683	1041
353	566.410989010989	1018
354	568.0901098901099	1037
355	569.7692307692308	996
356	571.4483516483517	964
357	573.1274725274726	1008
358	574.8065934065935	1028
359	576.4857142857144	943
360	578.1648351648353	970
361	579.8439560439562	1006
362	581.523076923077	1014
363	583.2021978021979	951
364	584.8813186813188	949
365	586.5604395604397	938
366	588.2395604395606	923
367	589.9186813186814	899
368	591.5978021978023	912
369	593.2769230769231	975
370	594.956043956044	978
371	596.6351648351649	928
372	598.3142857142858	995
373	599.9934065934067	925
374	601.6725274725276	915
375	603.3516483516485	929
376	605.0307692307694	925
377	606.7098901098902	908
378	608.3890109890111	870
379	610.068131868132	926
380	611.7472527472529	925
381	613.4263736263737	896
382	615.1054945054946	909
383	616.7846153846154	940
384	618.4637362637363	843
385	620.1428571428572	888
386	621.8219780219781	832
387	623.501098901099	859
388	625.1802197802199	866
389	626.8593406593408	938
390	628.5384615384617	864
391	630.2175824175825	926
392	631.8967032967034	800
393	633.5758241758243	883
394	635.2549450549452	908
395	636.934065934066	871
396	638.6131868131869	855
397	640.2923076923078	793
398	641.9714285714286	842
399	643.6505494505495	722
400	645.3296703296704	782
401	647.0087912087913	822
402	648.6879120879122	832
403	650.3670329670331	827
404	652.046153846154	757
405	653.7252747252749	785
406	655.4043956043957	735
407	657.0835164835166	748
408	658.7626373626375	756
409	660.4417582417583	744
410	662.1208791208792	754
411	663.8000000000001	805
412	665.479120879121	757
413	667.1582417582418	762
414	668.8373626373627	747
415	670.5164835164836	728
416	672.1956043956045	691
417	673.8747252747254	717
418	675.5538461538463	726
419	677.2329670329672	736
420	678.912087912088	708
421	680.5912087912089	716
422	682.2703296703298	683
423	683.9494505494506	717
424	685.6285714285715	658
425	687.3076923076924	727
426	688.9868131868133	702
427	690.6659340659342	675
428	692.345054945055	667
429	694.0241758241759	649
430	695.7032967032968	675
431	697.3824175824177	699
432	699.0615384615386	662
433	700.7406593406595	613
434	702.4197802197804	629
435	704.0989010989013	666
436	705.778021978022	699
437	707.4571428571429	641
438	709.1362637362638	655
439	710.8153846153847	643
440	712.4945054945056	619
441	714.1736263736265	640
442	715.8527472527473	589
443	717.5318681318682	667
444	719.2109890109891	624
445	720.89010989011	588
446	722.5692307692309	615
447	724.2483516483518	620
448	725.9274725274727	600
449	727.6065934065936	564
