Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	5
Fine Gain:	24
Upper Discriminator:	1733
Lower Discriminator:	-2
Calibration Coefficients:	-26.31868131868123	1.6791208791208792
Calibration Channels:	320	775
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	546.44
Elapsed Live Time:	447.12
Start Time:	February 16, 2016, 02:29:19
End Time:	February 16, 2016, 02:38:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

3	1	3	5012	1123	0	-22

Channel Data:
Channel	Energy	Counts
90	124.8021978021979	10063
91	126.48131868131878	9926
92	128.16043956043964	9892
93	129.83956043956053	9548
94	131.51868131868142	9713
95	133.1978021978023	9656
96	134.87692307692316	9306
97	136.55604395604405	9358
98	138.23516483516494	9314
99	139.9142857142858	9242
100	141.59340659340668	9142
101	143.27252747252757	9161
102	144.95164835164846	8877
103	146.63076923076932	8863
104	148.3098901098902	8747
105	149.9890109890111	8604
106	151.66813186813195	8695
107	153.34725274725284	8559
108	155.02637362637373	8450
109	156.70549450549458	8313
110	158.38461538461547	8396
111	160.06373626373636	8255
112	161.74285714285725	8461
113	163.4219780219781	8202
114	165.101098901099	8168
115	166.78021978021988	8074
116	168.45934065934074	8077
117	170.13846153846163	7947
118	171.8175824175825	8069
119	173.4967032967034	7897
120	175.17582417582426	7924
121	176.85494505494515	7827
122	178.53406593406604	7875
123	180.2131868131869	7743
124	181.89230769230778	7794
125	183.57142857142867	7698
126	185.25054945054956	7636
127	186.92967032967042	7430
128	188.6087912087913	7551
129	190.2879120879122	7401
130	191.96703296703305	7378
131	193.64615384615394	7176
132	195.32527472527482	7006
133	197.0043956043957	7179
134	198.68351648351657	6981
135	200.36263736263746	7042
136	202.04175824175834	6939
137	203.7208791208792	6762
138	205.4000000000001	6858
139	207.07912087912098	6746
140	208.75824175824187	6605
141	210.43736263736272	6604
142	212.1164835164836	6462
143	213.7956043956045	6433
144	215.47472527472536	6299
145	217.15384615384625	6265
146	218.83296703296713	6139
147	220.51208791208802	6292
148	222.19120879120888	5971
149	223.87032967032977	5908
150	225.54945054945065	5999
151	227.2285714285715	5978
152	228.9076923076924	5835
153	230.5868131868133	5860
154	232.26593406593418	5727
155	233.94505494505506	5697
156	235.6241758241759	5487
157	237.30329670329678	5483
158	238.98241758241767	5515
159	240.66153846153856	5471
160	242.34065934065944	5397
161	244.01978021978033	5437
162	245.69890109890122	5278
163	247.37802197802205	5183
164	249.05714285714294	5076
165	250.73626373626382	5080
166	252.4153846153847	5114
167	254.0945054945056	4855
168	255.77362637362648	4854
169	257.4527472527474	4880
170	259.1318681318682	4851
171	260.8109890109891	4743
172	262.49010989011	4761
173	264.16923076923086	4728
174	265.84835164835175	4715
175	267.52747252747264	4543
176	269.2065934065935	4591
177	270.88571428571436	4487
178	272.56483516483524	4520
179	274.24395604395613	4409
180	275.923076923077	4455
181	277.6021978021979	4439
182	279.2813186813188	4326
183	280.9604395604397	4362
184	282.6395604395605	4174
185	284.3186813186814	4315
186	285.9978021978023	4278
187	287.6769230769232	4214
188	289.35604395604406	4245
189	291.03516483516495	4057
190	292.71428571428584	4110
191	294.39340659340667	4118
192	296.07252747252755	3987
193	297.75164835164844	3957
194	299.43076923076933	4056
195	301.1098901098902	4064
196	302.7890109890111	3916
197	304.468131868132	3933
198	306.1472527472528	3906
199	307.8263736263737	3870
200	309.5054945054946	3855
201	311.1846153846155	3720
202	312.86373626373637	3847
203	314.54285714285726	3606
204	316.22197802197815	3698
205	317.901098901099	3741
206	319.58021978021986	3600
207	321.25934065934075	3695
208	322.93846153846164	3654
209	324.6175824175825	3549
210	326.2967032967034	3571
211	327.9758241758243	3586
212	329.65494505494513	3595
213	331.334065934066	3525
214	333.0131868131869	3513
215	334.6923076923078	3540
216	336.3714285714287	3452
217	338.05054945054957	3507
218	339.7296703296704	3386
219	341.4087912087913	3354
220	343.0879120879122	3322
221	344.76703296703306	3357
222	346.44615384615395	3304
223	348.12527472527483	3390
224	349.8043956043957	3274
225	351.48351648351655	3335
226	353.16263736263744	3202
227	354.8417582417583	3299
228	356.5208791208792	3276
229	358.2000000000001	3132
230	359.879120879121	3252
231	361.5582417582419	3264
232	363.2373626373627	3300
233	364.9164835164836	3137
234	366.5956043956045	3129
235	368.27472527472537	3122
236	369.95384615384626	3099
237	371.63296703296714	3115
238	373.31208791208803	2989
239	374.99120879120886	3095
240	376.67032967032975	3043
241	378.34945054945064	3036
242	380.0285714285715	3065
243	381.7076923076924	3032
244	383.3868131868133	3075
245	385.0659340659342	2957
246	386.745054945055	2959
247	388.4241758241759	3074
248	390.1032967032968	2932
249	391.7824175824177	2937
250	393.46153846153857	2956
251	395.14065934065945	2861
252	396.81978021978034	2896
253	398.4989010989012	2923
254	400.17802197802206	2876
255	401.85714285714295	2904
256	403.53626373626383	2844
257	405.2153846153847	2955
258	406.8945054945056	2845
259	408.5736263736265	2878
260	410.2527472527473	2897
261	411.9318681318682	2787
262	413.6109890109891	2846
263	415.29010989011	2844
264	416.9692307692309	2895
265	418.64835164835176	2839
266	420.32747252747265	2878
267	422.0065934065935	2881
268	423.68571428571437	2826
269	425.36483516483526	2894
270	427.04395604395614	2896
271	428.72307692307703	2865
272	430.4021978021979	2815
273	432.0813186813188	2851
274	433.76043956043964	2867
275	435.4395604395605	2763
276	437.1186813186814	2869
277	438.7978021978023	2865
278	440.4769230769232	2903
279	442.1560439560441	2782
280	443.83516483516496	2776
281	445.5142857142858	2903
282	447.1934065934067	2752
283	448.87252747252757	2777
284	450.55164835164845	2776
285	452.23076923076934	2729
286	453.9098901098902	2733
287	455.5890109890111	2657
288	457.26813186813195	2694
289	458.94725274725283	2657
290	460.6263736263737	2697
291	462.3054945054946	2641
292	463.9846153846155	2698
293	465.6637362637364	2575
294	467.34285714285727	2608
295	469.0219780219781	2649
296	470.701098901099	2567
297	472.3802197802199	2557
298	474.05934065934076	2488
299	475.73846153846165	2547
300	477.41758241758254	2542
301	479.09670329670337	2494
302	480.77582417582425	2491
303	482.45494505494514	2398
304	484.13406593406603	2419
305	485.8131868131869	2375
306	487.4923076923078	2297
307	489.1714285714287	2387
308	490.8505494505496	2382
309	492.52967032967047	2306
310	494.20879120879135	2301
311	495.88791208791224	2227
312	497.567032967033	2195
313	499.2461538461539	2178
314	500.9252747252748	2163
315	502.6043956043957	2111
316	504.28351648351656	2032
317	505.96263736263745	2075
318	507.64175824175834	2028
319	509.3208791208792	2077
320	511.0000000000001	1955
321	512.679120879121	1913
322	514.3582417582419	1955
323	516.0373626373628	1888
324	517.7164835164837	1878
325	519.3956043956046	1901
326	521.0747252747253	1883
327	522.7538461538462	1864
328	524.4329670329671	1777
329	526.112087912088	1716
330	527.7912087912089	1740
331	529.4703296703298	1708
332	531.1494505494506	1689
333	532.8285714285715	1708
334	534.5076923076924	1680
335	536.1868131868133	1672
336	537.8659340659342	1642
337	539.5450549450551	1594
338	541.224175824176	1621
339	542.9032967032969	1667
340	544.5824175824176	1636
341	546.2615384615385	1634
342	547.9406593406594	1571
343	549.6197802197803	1553
344	551.2989010989012	1581
345	552.9780219780221	1477
346	554.657142857143	1491
347	556.3362637362638	1599
348	558.0153846153847	1579
349	559.6945054945056	1617
350	561.3736263736265	1500
351	563.0527472527474	1537
352	564.7318681318683	1576
353	566.410989010989	1592
354	568.0901098901099	1621
355	569.7692307692308	1654
356	571.4483516483517	1611
357	573.1274725274726	1700
358	574.8065934065935	1646
359	576.4857142857144	1702
360	578.1648351648353	1724
361	579.8439560439562	1745
362	581.523076923077	1824
363	583.2021978021979	1933
364	584.8813186813188	1961
365	586.5604395604397	1965
366	588.2395604395606	2051
367	589.9186813186814	2115
368	591.5978021978023	2195
369	593.2769230769231	2276
370	594.956043956044	2393
371	596.6351648351649	2603
372	598.3142857142858	2635
373	599.9934065934067	2824
374	601.6725274725276	2898
375	603.3516483516485	2994
376	605.0307692307694	3141
377	606.7098901098902	3215
378	608.3890109890111	3347
379	610.068131868132	3693
380	611.7472527472529	3706
381	613.4263736263737	4065
382	615.1054945054946	4123
383	616.7846153846154	4389
384	618.4637362637363	4497
385	620.1428571428572	4719
386	621.8219780219781	4877
387	623.501098901099	5216
388	625.1802197802199	5459
389	626.8593406593408	5638
390	628.5384615384617	5936
391	630.2175824175825	6147
392	631.8967032967034	6404
393	633.5758241758243	6677
394	635.2549450549452	6871
395	636.934065934066	7094
396	638.6131868131869	7326
397	640.2923076923078	7517
398	641.9714285714286	7825
399	643.6505494505495	7940
400	645.3296703296704	8280
401	647.0087912087913	8366
402	648.6879120879122	8454
403	650.3670329670331	8772
404	652.046153846154	8867
405	653.7252747252749	9036
406	655.4043956043957	9334
407	657.0835164835166	9273
408	658.7626373626375	9479
409	660.4417582417583	9346
410	662.1208791208792	9684
411	663.8000000000001	9617
412	665.479120879121	9664
413	667.1582417582418	9783
414	668.8373626373627	9643
415	670.5164835164836	9513
416	672.1956043956045	9431
417	673.8747252747254	9458
418	675.5538461538463	9541
419	677.2329670329672	9236
420	678.912087912088	9292
421	680.5912087912089	8952
422	682.2703296703298	8857
423	683.9494505494506	8586
424	685.6285714285715	8449
425	687.3076923076924	8193
426	688.9868131868133	8046
427	690.6659340659342	7788
428	692.345054945055	7583
429	694.0241758241759	7364
430	695.7032967032968	6981
431	697.3824175824177	6814
432	699.0615384615386	6520
433	700.7406593406595	6311
434	702.4197802197804	5967
435	704.0989010989013	5804
436	705.778021978022	5481
437	707.4571428571429	5198
438	709.1362637362638	4904
439	710.8153846153847	4759
440	712.4945054945056	4477
441	714.1736263736265	4268
442	715.8527472527473	3924
443	717.5318681318682	3720
444	719.2109890109891	3560
445	720.89010989011	3286
446	722.5692307692309	3109
447	724.2483516483518	2914
448	725.9274725274727	2745
449	727.6065934065936	2549
450	729.2857142857143	2359
451	730.9648351648352	2228
452	732.6439560439561	2139
453	734.323076923077	1988
454	736.0021978021979	1757
455	737.6813186813188	1726
456	739.3604395604397	1594
457	741.0395604395605	1471
458	742.7186813186814	1331
459	744.3978021978023	1260
460	746.0769230769232	1219
461	747.7560439560441	1228
462	749.435164835165	1038
