Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1250
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	0
Upper Discriminator:	3560
Lower Discriminator:	164
Calibration Coefficients:	1.666666666666515	3.3955555555555557
Calibration Channels:	150	375
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	360.86
Elapsed Live Time:	306.09
Start Time:	February 18, 2016, 02:34:51
End Time:	February 18, 2016, 02:40:52
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	150	151	24492	32	0	512

Channel Data:
Channel	Energy	Counts
85	290.2888888888887	20142
86	293.6844444444443	19758
87	297.07999999999987	19528
88	300.4755555555554	19295
89	303.87111111111096	18971
90	307.26666666666654	18871
91	310.66222222222206	18310
92	314.05777777777763	18255
93	317.4533333333332	18046
94	320.8488888888887	17930
95	324.2444444444443	17641
96	327.6399999999999	17408
97	331.0355555555554	17343
98	334.43111111111097	16900
99	337.82666666666654	16667
100	341.22222222222206	16651
101	344.61777777777763	16366
102	348.0133333333332	16233
103	351.4088888888887	15932
104	354.8044444444443	15736
105	358.1999999999999	15610
106	361.5955555555554	15635
107	364.99111111111097	15422
108	368.38666666666654	15201
109	371.78222222222206	14926
110	375.17777777777764	14476
111	378.5733333333332	14728
112	381.9688888888887	14666
113	385.3644444444443	14534
114	388.7599999999999	13973
115	392.1555555555554	14105
116	395.55111111111097	13730
117	398.94666666666654	13651
118	402.34222222222206	13433
119	405.73777777777764	13328
120	409.1333333333332	13288
121	412.52888888888873	13008
122	415.9244444444443	12904
123	419.3199999999999	12795
124	422.7155555555554	12510
125	426.111111111111	12743
126	429.50666666666655	12648
127	432.90222222222206	12613
128	436.29777777777764	12467
129	439.6933333333332	12417
130	443.08888888888873	12223
131	446.4844444444443	12222
132	449.8799999999999	12465
133	453.2755555555554	12439
134	456.671111111111	12033
135	460.06666666666655	12123
136	463.46222222222207	12319
137	466.85777777777764	12293
138	470.2533333333332	12191
139	473.64888888888873	12317
140	477.0444444444443	12753
141	480.4399999999999	12520
142	483.8355555555554	12738
143	487.231111111111	12578
144	490.62666666666655	12476
145	494.02222222222207	12599
146	497.41777777777764	12778
147	500.8133333333332	12463
148	504.20888888888874	12678
149	507.6044444444443	12477
150	510.9999999999999	12315
151	514.3955555555555	12177
152	517.7911111111109	11919
153	521.1866666666665	11736
154	524.5822222222221	11650
155	527.9777777777776	11345
156	531.3733333333332	11116
157	534.7688888888888	10676
158	538.1644444444443	10390
159	541.5599999999998	10149
160	544.9555555555554	9984
161	548.351111111111	9599
162	551.7466666666666	9370
163	555.1422222222221	9104
164	558.5377777777776	9005
165	561.9333333333332	8749
166	565.3288888888887	8628
167	568.7244444444443	8349
168	572.1199999999999	8229
169	575.5155555555555	8119
170	578.9111111111109	7996
171	582.3066666666665	7915
172	585.7022222222221	7762
173	589.0977777777777	7838
174	592.4933333333332	7750
175	595.8888888888888	7519
176	599.2844444444443	7628
177	602.6799999999998	7525
178	606.0755555555554	7421
179	609.471111111111	7412
180	612.8666666666666	7573
181	616.2622222222221	7237
182	619.6577777777776	7311
183	623.0533333333332	7246
184	626.4488888888887	7049
185	629.8444444444443	7166
186	633.2399999999999	7111
187	636.6355555555555	6965
188	640.0311111111109	7111
189	643.4266666666665	6909
190	646.8222222222221	7041
191	650.2177777777777	6897
192	653.6133333333332	6973
193	657.0088888888888	6799
194	660.4044444444443	6667
195	663.7999999999998	6677
196	667.1955555555554	6592
197	670.591111111111	6705
198	673.9866666666666	6496
199	677.3822222222221	6472
200	680.7777777777776	6469
201	684.1733333333332	6453
202	687.5688888888888	6390
203	690.9644444444443	6279
204	694.3599999999999	6252
205	697.7555555555555	6201
206	701.1511111111109	6123
207	704.5466666666665	6027
208	707.9422222222221	5976
209	711.3377777777777	6045
210	714.7333333333332	5814
211	718.1288888888888	5910
212	721.5244444444443	5826
213	724.9199999999998	5874
214	728.3155555555554	5826
215	731.711111111111	5678
216	735.1066666666666	5821
217	738.5022222222221	5780
218	741.8977777777776	5644
219	745.2933333333332	5618
220	748.6888888888888	5467
221	752.0844444444443	5581
222	755.4799999999999	5532
223	758.8755555555555	5476
224	762.2711111111109	5560
225	765.6666666666665	5525
226	769.0622222222221	5413
227	772.4577777777777	5351
228	775.8533333333332	5337
229	779.2488888888888	5329
230	782.6444444444443	5331
231	786.0399999999998	5198
232	789.4355555555554	5223
233	792.831111111111	5226
234	796.2266666666666	5221
235	799.6222222222221	5070
236	803.0177777777776	5235
237	806.4133333333332	5247
238	809.8088888888888	5111
239	813.2044444444443	4990
240	816.5999999999999	5190
241	819.9955555555555	4974
242	823.391111111111	5103
243	826.7866666666665	5068
244	830.1822222222221	5038
245	833.5777777777777	5070
246	836.9733333333332	4911
247	840.3688888888888	4877
248	843.7644444444443	4813
249	847.1599999999999	4843
250	850.5555555555554	4826
251	853.951111111111	4762
252	857.3466666666666	4907
253	860.7422222222222	4837
254	864.1377777777776	4808
255	867.5333333333332	4799
256	870.9288888888888	4658
257	874.3244444444443	4680
258	877.7199999999999	4714
259	881.1155555555554	4705
260	884.511111111111	4556
261	887.9066666666665	4620
262	891.3022222222221	4648
263	894.6977777777777	4561
264	898.0933333333332	4462
265	901.4888888888887	4308
266	904.8844444444443	4453
267	908.2799999999999	4461
268	911.6755555555554	4505
269	915.071111111111	4379
270	918.4666666666666	4374
271	921.862222222222	4198
272	925.2577777777776	4266
273	928.6533333333332	4328
274	932.0488888888888	4256
275	935.4444444444443	4318
276	938.8399999999999	4339
277	942.2355555555554	4164
278	945.631111111111	4207
279	949.0266666666665	4242
280	952.4222222222221	4287
281	955.8177777777777	4152
282	959.2133333333333	4093
283	962.6088888888887	4082
284	966.0044444444443	4104
285	969.3999999999999	4059
286	972.7955555555554	4099
287	976.191111111111	4029
288	979.5866666666666	4070
289	982.982222222222	4095
290	986.3777777777776	3892
291	989.7733333333332	4110
292	993.1688888888888	3934
293	996.5644444444443	3907
294	999.9599999999999	3949
295	1003.3555555555554	4077
296	1006.751111111111	3780
297	1010.1466666666665	3897
298	1013.5422222222221	3946
299	1016.9377777777777	3856
300	1020.3333333333333	3869
301	1023.7288888888887	3824
302	1027.1244444444444	3907
303	1030.52	3847
304	1033.9155555555553	3869
305	1037.311111111111	3798
306	1040.7066666666665	3847
307	1044.102222222222	3768
308	1047.4977777777776	3937
309	1050.8933333333332	3864
310	1054.2888888888888	3802
311	1057.6844444444444	3748
312	1061.08	3763
313	1064.4755555555555	3606
314	1067.871111111111	3717
315	1071.2666666666667	3603
316	1074.662222222222	3707
317	1078.0577777777776	3652
318	1081.4533333333331	3764
319	1084.8488888888887	3686
320	1088.2444444444443	3644
